ogc_fid,lsoa11cd,lsoa11nm,lsoa11nmw,AllED,MaleED,FemaleED,AllEDSig,MaleEDSig,FemEDSig,AllEmAdm,MaleEmAdm,FemEmAdm,AllEmSig,MaleEmSig,FemEmSig,AllAlcAdm,MalAlcAdm,FemAlcAdm,AlcAdmSig,MaleAlcSi,FemAlcSig
5601,E01005761,Stockport 026A,Stockport 026A,36633.90,"35,809.90","37,303.40",Higher,Higher,Higher,15881.9855,13242.89828,18462.29536,Higher,Higher but not significantly so,Higher,"2,811.60","3,644.60","1,924.10",Higher but not significantly so,Higher but not significantly so,Higher but not significantly so
5710,E01005870,Stockport 015A,Stockport 015A,35895.40,"35,716.30","36,761.20",Higher,Higher,Higher,15114.80658,13380.31775,17664.11422,Higher,Higher but not significantly so,Higher,"2,421.00","3,376.70","1,591.40",Lower but not significantly so,Lower but not significantly so,Lower but not significantly so
5711,E01005871,Stockport 015B,Stockport 015B,33627.00,"32,878.10","34,513.20",Higher but not significantly so,Higher but not significantly so,Higher but not significantly so,14857.9456,13770.63337,15815.48054,Higher but not significantly so,Higher but not significantly so,Higher but not significantly so,"2,528.30","3,016.00","2,159.80",Higher but not significantly so,Lower but not significantly so,Higher but not significantly so
5583,E01005743,Stockport 009A,Stockport 009A,28705.80,"28,998.40","28,230.30",Lower,Lower,Lower,11651.14679,11831.37873,11582.04023,Lower,Lower but not significantly so,Lower,"2,112.30","2,805.50","1,453.80",Lower but not significantly so,Lower but not significantly so,Lower but not significantly so
5584,E01005744,Stockport 009B,Stockport 009B,44001.30,"43,025.20","45,920.70",Higher,Higher,Higher,20012.78348,19245.8701,21533.59309,Higher,Higher,Higher,"4,150.70","6,191.80","2,193.00",Higher,Higher,Higher but not significantly so
5585,E01005745,Stockport 005A,Stockport 005A,30189.80,"28,683.10","32,886.50",Lower,Lower,Higher but not significantly so,12544.1427,10350.12871,15683.47737,Lower but not significantly so,Lower,Higher but not significantly so,"1,886.50","2,470.50","1,289.20",Lower,Lower,Lower but not significantly so
5586,E01005746,Stockport 005B,Stockport 005B,43055.30,"39,654.20","47,407.00",Higher,Higher,Higher,19572.79957,17333.11171,22913.63951,Higher,Higher,Higher,"4,324.60","4,885.90","3,841.30",Higher,Higher,Higher
5587,E01005747,Stockport 005C,Stockport 005C,26804.00,"28,369.30","25,608.30",Lower,Lower,Lower,10180.47135,10449.23091,10396.31448,Lower,Lower,Lower,"1,868.60","2,691.60","1,134.70",Lower,Lower but not significantly so,Lower
5588,E01005748,Stockport 005D,Stockport 005D,25441.80,"24,812.50","25,903.70",Lower,Lower,Lower,9638.887312,9143.788379,10147.54126,Lower,Lower,Lower,"2,290.50","3,083.70","1,486.50",Lower but not significantly so,Lower but not significantly so,Lower but not significantly so
5589,E01005749,Stockport 009C,Stockport 009C,30467.10,"28,771.80","32,283.10",Lower,Lower,Higher but not significantly so,12637.75199,11756.7725,13673.9053,Lower but not significantly so,Lower but not significantly so,Lower but not significantly so,"2,255.00","2,735.00","1,844.70",Lower but not significantly so,Lower but not significantly so,Higher but not significantly so
5590,E01005750,Stockport 009D,Stockport 009D,31890.70,"31,556.30","32,544.50",Lower but not significantly so,Lower but not significantly so,Higher but not significantly so,12528.31312,10675.20005,14148.28561,Lower but not significantly so,Lower,Lower but not significantly so,"1,899.30","2,210.50","1,631.60",Lower,Lower,Lower but not significantly so
5591,E01005751,Stockport 009E,Stockport 009E,33153.70,"33,343.40","33,659.90",Higher but not significantly so,Higher but not significantly so,Higher but not significantly so,13053.94264,12258.89744,14127.86035,Lower but not significantly so,Lower but not significantly so,Lower but not significantly so,"2,303.90","3,180.20","1,590.30",Lower but not significantly so,Lower but not significantly so,Lower but not significantly so
5592,E01005752,Stockport 012A,Stockport 012A,35504.40,"33,902.80","37,244.10",Higher,Higher but not significantly so,Higher,16739.22394,16174.59607,17187.10932,Higher,Higher,Higher,"3,066.40","4,298.30","2,067.10",Higher,Higher but not significantly so,Higher but not significantly so
5593,E01005753,Stockport 004A,Stockport 004A,44579.50,"46,959.00","42,308.10",Higher,Higher,Higher,22546.60792,20815.85196,23993.36107,Higher,Higher,Higher,"3,917.90","5,421.80","2,868.00",Higher,Higher,Higher
