ogc_fid,lsoa11cd,lsoa11nm,lsoa11nmw,GPRegPop,Hypertens,Anxiety,Depression,Asthma,Obesity,Diabetes,CHD,Fall,Cancer,CKD,COPD,Stroke_TIA,AF
5601,E01005761,Stockport 026A,Stockport 026A,1495,165,163,175,110,102,63,47,51,25,17,36,33,19
5710,E01005870,Stockport 015A,Stockport 015A,1457,203,191,173,92,90,62,58,80,38,35,35,33,29
5711,E01005871,Stockport 015B,Stockport 015B,1343,190,191,171,104,96,68,53,50,25,24,29,23,21
5583,E01005743,Stockport 009A,Stockport 009A,1391,269,131,100,102,125,54,51,33,43,39,31,23,18
5584,E01005744,Stockport 009B,Stockport 009B,1459,265,161,133,92,124,96,87,85,41,58,50,51,38
5585,E01005745,Stockport 005A,Stockport 005A,1450,200,162,142,93,114,70,51,33,35,21,30,22,15
5586,E01005746,Stockport 005B,Stockport 005B,1497,330,217,206,107,160,111,116,56,52,72,95,56,44
5587,E01005747,Stockport 005C,Stockport 005C,1406,192,111,94,85,80,49,36,24,37,20,18,18,23
5588,E01005748,Stockport 005D,Stockport 005D,1557,293,108,89,90,101,74,85,27,68,51,27,32,47
5589,E01005749,Stockport 009C,Stockport 009C,1705,255,172,126,82,147,91,57,47,42,44,39,25,24
5590,E01005750,Stockport 009D,Stockport 009D,1706,214,183,146,112,143,65,53,69,24,37,31,31,29
5591,E01005751,Stockport 009E,Stockport 009E,1436,200,142,116,101,141,102,46,48,33,32,29,24,21
5592,E01005752,Stockport 012A,Stockport 012A,1514,210,136,151,104,135,78,68,40,32,38,48,43,32
5593,E01005753,Stockport 004A,Stockport 004A,2029,338,333,357,192,221,135,104,200,57,54,106,89,46
5594,E01005754,Stockport 004B,Stockport 004B,2038,299,394,464,226,235,126,94,145,41,35,124,38,39
5595,E01005755,Stockport 004C,Stockport 004C,1847,222,293,326,150,181,93,58,102,30,26,56,27,25
5596,E01005756,Stockport 004D,Stockport 004D,1936,226,361,442,169,199,120,59,142,37,40,81,40,22
5597,E01005757,Stockport 014A,Stockport 014A,1577,213,195,204,116,121,75,43,55,30,21,40,25,17
5598,E01005758,Stockport 014B,Stockport 014B,1879,307,365,368,165,180,153,106,119,46,45,136,50,30
5599,E01005759,Stockport 023A,Stockport 023A,1643,219,188,176,114,122,75,40,51,37,25,36,17,18
5600,E01005760,Stockport 023B,Stockport 023B,2080,238,247,265,146,140,117,97,68,23,49,65,43,39
5602,E01005762,Stockport 026B,Stockport 026B,1780,226,233,247,151,180,113,83,63,36,43,78,48,30
5603,E01005763,Stockport 026C,Stockport 026C,1873,230,199,222,149,155,110,59,70,35,49,71,42,20
5604,E01005764,Stockport 016A,Stockport 016A,1683,210,233,240,127,143,90,65,88,35,38,63,43,25
5605,E01005765,Stockport 018A,Stockport 018A,1406,192,169,134,90,108,61,48,70,28,27,31,24,30
5606,E01005766,Stockport 014C,Stockport 014C,1703,195,208,206,120,139,103,76,49,22,38,72,33,27
5607,E01005767,Stockport 028A,Stockport 028A,1408,251,123,96,84,72,99,75,117,63,48,18,57,51
5608,E01005768,Stockport 025A,Stockport 025A,1673,232,150,118,110,62,87,50,123,62,34,19,32,29
5609,E01005769,Stockport 022A,Stockport 022A,1466,192,166,169,97,73,57,62,103,47,30,24,31,23
5610,E01005770,Stockport 025B,Stockport 025B,1267,187,141,111,80,66,65,48,90,39,40,32,20,38
5611,E01005771,Stockport 025C,Stockport 025C,1372,146,141,115,85,60,68,35,101,38,26,16,24,20
5612,E01005772,Stockport 028B,Stockport 028B,1426,170,137,108,96,60,102,61,100,51,33,9,30,29
5613,E01005773,Stockport 028C,Stockport 028C,1516,228,155,163,119,73,83,60,111,63,46,28,40,37
5614,E01005774,Stockport 028D,Stockport 028D,1500,237,211,225,121,113,99,82,131,46,39,64,37,34
5615,E01005775,Stockport 025D,Stockport 025D,1307,151,134,102,83,48,62,39,83,28,32,19,28,25
5616,E01005776,Stockport 028E,Stockport 028E,1566,225,113,85,92,66,100,68,106,62,25,8,26,33
5617,E01005777,Stockport 034A,Stockport 034A,1530,258,153,170,104,85,93,71,86,49,47,32,37,37
5618,E01005778,Stockport 022B,Stockport 022B,1470,231,164,150,96,100,85,68,109,36,26,40,49,38
5619,E01005779,Stockport 022C,Stockport 022C,1535,191,156,148,122,79,75,57,93,41,26,30,21,31
5620,E01005780,Stockport 022D,Stockport 022D,1525,142,154,135,131,108,71,47,59,25,13,26,20,15
5621,E01005781,Stockport 022E,Stockport 022E,1586,239,185,224,131,119,120,82,75,47,47,66,49,19
5622,E01005782,Stockport 030A,Stockport 030A,1278,237,106,125,88,72,69,57,73,34,33,26,36,27
5623,E01005783,Stockport 030B,Stockport 030B,1590,248,128,139,109,94,91,83,81,56,43,19,23,37
5624,E01005784,Stockport 030C,Stockport 030C,1485,249,100,100,89,49,77,69,116,45,30,15,44,28
