ogc_fid,lsoa11cd,lsoa11nm,lsoa11nmw,AllSmoking,MaleSmok,FemSmok,AllSignifS,MaleSigniS,FemSigniS,AllAsthma,MalAsthma,FemAsthma,AllAsSigni,MaAsSigni,FeAsSigni
5601,E01005761,Stockport 026A,Stockport 026A,27333.921340000001000,25875.494569999999000,28640.664890000000000,Higher,Higher,Higher,"27,333.90","25,875.50","28,640.70",Higher,Higher,Higher
5710,E01005870,Stockport 015A,Stockport 015A,20366.831090000000000,20724.953050000000000,20496.833719999999000,Higher,Higher but not significantly so,Higher,"20,366.80","20,725.00","20,496.80",Higher,Higher but not significantly so,Higher
5711,E01005871,Stockport 015B,Stockport 015B,20898.531650000001000,22404.741600000001000,19472.911779999999000,Higher,Higher but not significantly so,Higher,"20,898.50","22,404.70","19,472.90",Higher,Higher but not significantly so,Higher
5583,E01005743,Stockport 009A,Stockport 009A,17961.285840000000000,18691.009549999999000,17323.007060000000000,Higher but not significantly so,Lower but not significantly so,Higher but not significantly so,"17,961.30","18,691.00","17,323.00",Higher but not significantly so,Lower but not significantly so,Higher but not significantly so
5584,E01005744,Stockport 009B,Stockport 009B,20657.890390000000000,22127.652520000000000,19648.069860000000000,Higher,Higher but not significantly so,Higher,"20,657.90","22,127.70","19,648.10",Higher,Higher but not significantly so,Higher
5585,E01005745,Stockport 005A,Stockport 005A,17855.076730000001000,19645.704330000000000,16376.298090000000000,Lower but not significantly so,Lower but not significantly so,Higher but not significantly so,"17,855.10","19,645.70","16,376.30",Lower but not significantly so,Lower but not significantly so,Higher but not significantly so
5586,E01005746,Stockport 005B,Stockport 005B,28737.846130000002000,29280.526590000001000,28212.842180000000000,Higher,Higher,Higher,"28,737.80","29,280.50","28,212.80",Higher,Higher,Higher
5587,E01005747,Stockport 005C,Stockport 005C,12884.190110000000000,14089.481470000001000,11719.033520000001000,Lower,Lower,Lower,"12,884.20","14,089.50","11,719.00",Lower,Lower,Lower
5588,E01005748,Stockport 005D,Stockport 005D,10553.265490000000000,12673.591899999999000,8525.299816999999200,Lower,Lower,Lower,"10,553.30","12,673.60","8,525.30",Lower,Lower,Lower
5589,E01005749,Stockport 009C,Stockport 009C,15579.408299999999000,16847.179570000000000,14493.445940000000000,Lower,Lower,Lower but not significantly so,"15,579.40","16,847.20","14,493.40",Lower,Lower,Lower but not significantly so
5590,E01005750,Stockport 009D,Stockport 009D,17202.620169999998000,18908.719499999999000,16125.426620000000000,Lower but not significantly so,Lower but not significantly so,Lower but not significantly so,"17,202.60","18,908.70","16,125.40",Lower but not significantly so,Lower but not significantly so,Lower but not significantly so
5591,E01005751,Stockport 009E,Stockport 009E,21336.322820000001000,22594.646980000001000,20795.438520000000000,Higher,Higher,Higher,"21,336.30","22,594.60","20,795.40",Higher,Higher,Higher
5592,E01005752,Stockport 012A,Stockport 012A,22671.509770000001000,24653.725559999999000,21093.416170000000000,Higher,Higher,Higher,"22,671.50","24,653.70","21,093.40",Higher,Higher,Higher
5593,E01005753,Stockport 004A,Stockport 004A,37138.333449999998000,36524.622770000002000,38032.927309999999000,Higher,Higher,Higher,"37,138.30","36,524.60","38,032.90",Higher,Higher,Higher
5594,E01005754,Stockport 004B,Stockport 004B,43743.064209999997000,46353.080620000001000,41507.504110000002000,Higher,Higher,Higher,"43,743.10","46,353.10","41,507.50",Higher,Higher,Higher
5595,E01005755,Stockport 004C,Stockport 004C,36380.279199999997000,35801.766589999999000,36705.633060000000000,Higher,Higher,Higher,"36,380.30","35,801.80","36,705.60",Higher,Higher,Higher
5596,E01005756,Stockport 004D,Stockport 004D,41215.917260000002000,42570.036310000003000,39312.533850000000000,Higher,Higher,Higher,"41,215.90","42,570.00","39,312.50",Higher,Higher,Higher
5597,E01005757,Stockport 014A,Stockport 014A,24038.762729999999000,27077.609870000000000,21452.791949999999000,Higher,Higher,Higher,"24,038.80","27,077.60","21,452.80",Higher,Higher,Higher
5598,E01005758,Stockport 014B,Stockport 014B,36352.118369999997000,37228.526740000001000,35138.261440000002000,Higher,Higher,Higher,"36,352.10","37,228.50","35,138.30",Higher,Higher,Higher
